movie_id,actor_name
12_(2007_film),Valentin Gaft|Sergei Makovetsky|Sergei Garmash|Alexei Petrenko|Nikita Mikhalkov
12_Angry_Men_(1957_film),NOT_FOUND
12_Angry_Men_(1997_film),Tony Danza|James Gandolfini|Courtney B. Vance|Dorian Harewood|Edward James Olmos|George C. Scott|Armin Mueller-Stahl|William Petersen|Jack Lemmon|Mykelti Williamson|Hume Cronyn|Ossie Davis
12_Citizens,NOT_FOUND
12_Dates_of_Christmas,Jayne Eastwood|Richard Fitzpatrick|Amy Smart|Mark-Paul Gosselaar
12_Men_of_Christmas,Anna Chlumsky|Aaron Abrams|Peter Mooney|Kristin Chenoweth
12_O'Clock_Boys,NOT_FOUND
12_Paces_Without_a_Head,Matthias Schweighöfer|Ronald Zehrfeld
12_Rounds_(film),Steve Harris (actor)|Brian J. White|Aidan Gillen|Taylor Cole|Billy Slaughter|John Cena|Ashley Scott
12_Rounds_3:_Lockdown,NOT_FOUND
12_Storeys,Jack Neo
12_Years_a_Slave_(film),Paul Dano|Paul Giamatti|Alfre Woodard|Michael Fassbender|Sarah Paulson|Benedict Cumberbatch|Lupita Nyong'o|Chiwetel Ejiofor
12_to_the_Moon,Anna-Lisa|Tom Conway|Ken Clark (actor)
12th_&_Delaware,NOT_FOUND
13_(2010_film),Ray Winstone|Jason Statham|Sam Riley|50 Cent|Mickey Rourke
13_Assassins,Takayuki Yamada|Yūsuke Iseya|Goro Inagaki|Matsumoto Kōshirō IX|Hiroki Matsukata|Kōji Yakusho|Masachika Ichimura|Ikki Sawamura
13_Beloved,Krissada Terrence
13_Eerie,Katharine Isabelle|Michael Shanks|Jesse Moss (actor)|Brendan Fletcher|Nick Moran|Brendan Fehr
13_Fighting_Men,Brad Dexter|Grant Williams|Richard Crane (actor)|Carole Mathews
13_Ghosts,Charles Herbert|Martin Milner|Jo Morrow|Rosemary DeCamp|Donald Woods (actor)
13_Going_on_30,Jennifer Garner|Judy Greer|Andy Serkis|Mark Ruffalo
13_Minutes,Christian Friedel
13_Moons,Jennifer Beals|Steve Buscemi|Peter Stormare|Peter Dinklage|Sam Rockwell|Elizabeth Bracco
13_Rue_Madeleine,Richard Conte|James Cagney|Annabella (actress)
13_Tzameti,Urbain Cancelier|Pascal Bongard|Aurélien Recoing
13_West_Street,Alan Ladd|Rod Steiger
13th_(film),NOT_FOUND
1408_(film),Samuel L. Jackson|Tony Shalhoub|John Cusack|Mary McCormack
1492:_Conquest_of_Paradise,Armand Assante|Gérard Depardieu|Sigourney Weaver
14_Blades,Zhao Wei|Qi Yuwu|Donnie Yen|Kate Tsui|Sammo Hung|Damian Lau|Wu Chun
14_Going_on_30,Steven Eckholdt|Gabriel Olds|Daphne Ashbrook|Patrick Duffy
150_Milligrams,Sidse Babett Knudsen
15_(film),NOT_FOUND
15_Minutes,Edward Burns|Kelsey Grammer|Melina Kanakaredes|Robert De Niro|Avery Brooks
15_Years_and_One_Day,Maribel Verdú
16_Acres,NOT_FOUND
16_Blocks,Bruce Willis|Mos Def|David Morse (actor)
16_to_Life,Theresa Russell|Hallee Hirsh|Mandy Musgrave|Shiloh Fernandez
170_Hz,Gaite Jansen
1776_(film),Donald Madden|Ken Howard|Howard Da Silva|William Daniels|John Cullum
17_Again_(film),Leslie Mann|Thomas Lennon (actor)|Michelle Trachtenberg|Sterling Knight|Matthew Perry|Zac Efron
18-Year-Old_Virgin,Lauren Walsh|Olivia Alaina May
18_Again!,Red Buttons|George Burns|Tony Roberts (actor)|Anita Morris|Charlie Schlatter
18_Years_Old_and_Rising,Pierre Niney
1900_(film),Francesca Bertini|Stefania Casini|Stefania Sandrelli|Burt Lancaster|Sterling Hayden|Romolo Valli|Donald Sutherland|Laura Betti|Robert De Niro|Gérard Depardieu|Alida Valli|Dominique Sanda
1911_(film),Jackie Chan|Winston Chao|Li Bingbing
1915_(film),Simon Abkarian|Nikolai Kinski|Samuel Page|Angela Sarafyan
1918_(1957_film),Åke Lindman
1918_(1985_film),Hallie Foote
1920_(film),Anjori Alagh|Adah Sharma|Indraneil Sengupta|Rajneesh Duggal
1922_(film),NOT_FOUND
1941_(film),Toshirō Mifune|John Belushi|Christopher Lee|Treat Williams|Murray Hamilton|Dianne Kay|Warren Oates|Nancy Allen (actress)|Robert Stack|Ned Beatty|Dan Aykroyd|Lorraine Gary|Tim Matheson
1942:_A_Love_Story,Anupam Kher|Anil Kapoor|Manisha Koirala|Jackie Shroff
1944_(film),NOT_FOUND
1969_(film),"Joanna Cassidy|Kiefer Sutherland|Winona Ryder|Robert Downey, Jr.|Bruce Dern|Mariette Hartley"
1971_(2007_film),Deepak Dobriyal|Ravi Kishan|Kumud Mishra|Vivek Mishra|Piyush Mishra|Manoj Bajpayee|Manav Kaul
1971_(2014_film),NOT_FOUND
1981_(film),Jean-Carl Boucher
1982_(film),Wayne Brady|Bokeem Woodbine|Sharon Leal|Ruby Dee|La La Anthony|Hill Harper|Quinton Aaron
1984_(1956_film),Jan Sterling|Michael Redgrave|Edmond O'Brien
1984_(magazine),NOT_FOUND
1987_(film),Jean-Carl Boucher|Sandrine Bisson
1990:_The_Bronx_Warriors,Fred Williamson|Christopher Connelly (actor)|Vic Morrow
1991:_The_Year_Punk_Broke,NOT_FOUND
1:54_(film),David Boutin|Sophie Nélisse|Robert Naylor (actor)|Lou-Pascal Tremblay|Antoine-Olivier Pilon
1_(2009_film),László Sinkó
1_(2013_film),NOT_FOUND
2.0_(film),Rajinikanth|Amy Jackson|Akshay Kumar
"20,000_Days_on_Earth",NOT_FOUND
"20,000_Leagues_Under_the_Sea_(1916_film)",Allen Holubar|Jane Gail
"20,000_Leagues_Under_the_Sea_(1954_film)",Kirk Douglas|James Mason|Paul Lukas|Peter Lorre
"20,000_Leagues_Under_the_Sea_(1985_film)",Tom Burlinson
"20,000_Leagues_Under_the_Sea_(1997_Hallmark_film)",Julie Cox|Paul Gross|Ben Cross|Richard Crenna
"20,000_Years_in_Sing_Sing",Spencer Tracy|Bette Davis
2000_AD_(film),Aaron Kwok|Daniel Wu|Phyllis Quek|James Lye
2001:_A_Space_Odyssey_(film),Keir Dullea|Gary Lockwood
2001:_A_Space_Travesty,Peter Egan|Leslie Nielsen|Ophélie Winter|Ezio Greggio
2001_Maniacs,Giuseppe Andrews|Robert Englund|Lin Shaye
2009:_Lost_Memories,Toru Nakamura (actor)|Jang Dong-gun
200_Cigarettes,Guillermo Díaz (actor)|Paul Rudd|Gaby Hoffmann|Casey Affleck|Janeane Garofalo|Angela Featherstone|Jay Mohr|Ben Affleck|Nicole Ari Parker|Kate Hudson|Martha Plimpton|Courtney Love|Dave Chappelle|Christina Ricci
200_Motels,Ringo Starr|Theodore Bikel|The Mothers of Invention
200_Pounds_Beauty,Kim Ah-joong|Joo Jin-mo
2012:_Ice_Age,Nick Afanasiev|Julie McCullough|Patrick Labyorteaux
2012:_Time_for_Change,NOT_FOUND
2012_(film),Danny Glover|Thandie Newton|Amanda Peet|Woody Harrelson|Oliver Platt|John Cusack|Chiwetel Ejiofor
2016:_Obama's_America,Dinesh D'Souza
2020_Texas_Gladiators,Al Cliver
2033_(film),Miguel Couturier|Sandra Echeverría
2046_(film),Gong Li|Faye Wong|Takuya Kimura|Dong Jie|Carina Lau|Zhang Ziyi|Chang Chen|Tony Leung Chiu-wai|Bird Thongchai McIntyre|Maggie Cheung
20_30_40,Angelica Lee|Sylvia Chang|Rene Liu
20_Dates,Tia Carrere|Robert McKee|Richard Arlook|Elie Samaha
20_Feet_from_Stardom,Darlene Love|Judith Hill|Merry Clayton|Jo Lawry|Táta Vega|Lisa Fischer
20_Fingers_(film),Bijan Daneshmand|Mania Akbari
20_Mule_Team,"Anne Baxter|Noah Beery, Jr.|Wallace Beery|Marjorie Rambeau|Leo Carrillo"
20_Years_After,Joshua Leonard|Azura Skye|Nathan Baesel
20th_Century_Women,Greta Gerwig|Elle Fanning|Annette Bening|Billy Crudup
21_(2008_film),Kieu Chinh|Laurence Fishburne|Kate Bosworth|Kevin Spacey|Jim Sturgess
21_(2016_film),NOT_FOUND
21_Days,Vivien Leigh|Leslie Banks|Laurence Olivier
21_Grams,Naomi Watts|Sean Penn|Charlotte Gainsbourg|Benicio del Toro
21_Hours_at_Munich,William Holden
21_Jump_Street_(film),NOT_FOUND
21_tapaa_pilata_avioliitto,Riku Nieminen|Armi Toivanen|Aku Hirviniemi
22_Bullets,Catherine Samie|Joeystarr|Kad Merad|Marina Foïs|Richard Berry (actor)|Jean Reno|Jean-Pierre Darroussin
22_Female_Kottayam,Fahadh Faasil|Rima Kallingal
22_Jump_Street,Ice Cube|Peter Stormare
22nd_of_May_(film),Titus De Voogdt|Sam Louwyck
23_(film),Fabian Busch|August Diehl
23_Blast,Fred Thompson|Kim Zimmer|Stephen Lang|Dylan Baker|Alexa Vega|Max Adler (actor)|Mark Hapka|Timothy Busfield|Becky Ann Baker
23_Paces_to_Baker_Street,Cecil Parker|Van Johnson|Vera Miles
24:_Redemption,Gil Bellows|Colm Feore|Peter MacNicol|Kiefer Sutherland|Robert Carlyle|Bob Gunton|Cherry Jones|Powers Boothe|Hakeem Kae-Kazim|Jon Voight
24_(2016_film),Nithya Menen|Suriya|Samantha Ruth Prabhu
24_City,Zhao Tao|Chen Jianbin|Lü Liping|Joan Chen
24_Days,Jacques Gamblin|Zabou Breitman|Sylvie Testud|Tony Harrisson|Pascal Elbé|Éric Caravaca|Olivier Sitruk
24_Exposures,Adam Wingard|Simon Barrett (filmmaker)|Sophia Takal
24_Hour_Party_People,Peter Kay|Paddy Considine|Lennie James|Sean Harris|Steve Coogan|Shirley Henderson|Andy Serkis|Paul Popplewell
24_Hours_(1931_film),Miriam Hopkins|Kay Francis|Clive Brook|Regis Toomey
24_Weeks,Julia Jentsch
25_April_(film),NOT_FOUND
25_Watts,Daniel Hendler
25th_Hour,NOT_FOUND
26_Years_(film),Han Hye-jin|Im Seulong|Bae Soo-bin|Jin Goo
27_Dresses,James Marsden|Edward Burns|Maulik Pancholy|Malin Åkerman|Judy Greer|Katherine Heigl
27_Missing_Kisses,Yevgeni Sidikhin|Pierre Richard
28_Days_(film),Sandra Bullock|Dominic West|Diane Ladd|Steve Buscemi|Elizabeth Perkins|Viggo Mortensen
28_Days_Later,Megan Burns|Christopher Eccleston|Cillian Murphy|Brendan Gleeson|Naomie Harris
28_Hotel_Rooms,Chris Messina|Marin Ireland
28_Weeks_Later,Imogen Poots|Rose Byrne|Jeremy Renner|Harold Perrineau|Idris Elba|Robert Carlyle|Catherine McCormack
29th_Street_(film),Lainie Kazan|Danny Aiello|Anthony LaPaglia
29th_and_Gay,Mike Doyle (actor)|James Vasquez|Michael Emerson
2:22_(2008_film),Val Kilmer|Robert Miano|Mick Rossi
2:22_(2016_film),Sam Reid (actor)|Michiel Huisman|Teresa Palmer
2:37,Frank Sweet|Teresa Palmer|Marni Spillane
2LDK,Maho Nonami|Eiko Koike
2_Become_1_(film),NOT_FOUND
2_Days_in_New_York,Chris Rock|Dylan Baker|Kate Burton (actress)
2_Days_in_Paris,Adam Goldberg|Daniel Brühl|Julie Delpy
2_Days_in_the_Valley,Danny Aiello|Marsha Mason|Jeff Daniels|Glenne Headly|Paul Mazursky|Charlize Theron|Teri Hatcher|James Spader|Eric Stoltz
2_Fast_2_Furious,Paul Walker|Ludacris|Eva Mendes|Tyrese Gibson
2_Guns,Mark Wahlberg|Denzel Washington
2_Seconds,NOT_FOUND
2_States_(film),Amrita Singh|Shiv Kumar Subramaniam|Arjun Kapoor|Alia Bhatt|Ronit Roy|Revathi
2_Young,Jaycee Chan|Fiona Sit
3-Headed_Shark_Attack,Rob Van Dam|Karrueche Tran|Danny Trejo
3-Iron,Jae Hee|Lee Seung-yeon
