dm,vector_size,window,hs,epochs,min_count,ns_exponent,dbow_words,negative,rank_score,bleu_score
1,100,100000,0,50,1,3,1,5,71,0.13562962962962966
1,100,100000,0,50,1,3,1,20,38,0.13496296296296295
1,100,100000,0,50,1,-3,1,5,64,0.08337037037037037
1,100,100000,0,50,1,-3,1,20,78,0.08407407407407408
1,100,100000,0,50,5,3,1,5,35,0.10659259259259261
1,100,100000,0,50,5,3,1,20,39,0.12318518518518522
